Region,alpha,beta,gamma1,Time series start,Time series end,Init_exposed factor,lr,lrd,epochs,error% on last timepoint,Temperature ,Humidity,E0
"Hubei, China",0.5,0.68,0,9,33,2,0.0004,0,20k,20,45.418125,0.678333333,2116
Italy,0.83,1.11,0,37,65,1,0.001,0,20k,11,48.93796131,0.653214286,155
Spain,0.57,0.84,0,46,69,2,0.001,0,20k,10,53.272875,0.6435,330
Germany,0.197,0.442,0,46,69,2,0.002,0,20k,30,41.86229167,0.814,392
Iran,0.71,0.91,0,39,67,4,0.0004,0,20k,5,54.37357725,0.234285714,380
France,0.42,0.64,0,46,69,2,0.0005,0,30k,5,45.59130952,0.779285714,408
"New York, US",0.266,0.653,0,58,69,4,0.002,0.0004,20k,35,47.48799819,0.572,2916
South Korea,1.07,1.31,0,32,60,4,0.00012,0,17k,<10,39.63215476,0.603714286,124
Switzerland,0.36,0.62,0,46,69,2,0.0005,0,20k,30,33.09678571,0.849642857,112
UK,0.26,0.53,0,46,69,2,0.0005,0,20k,20,36.13974702,0.906071429,102
Netherlands,0.6,0.87,0,46,69,2,0.001,0,20k,20,43.53410714,0.798571429,48
Belgium,0.64,0.93,0,46,69,2,0.001,0,20k,30,44.74665179,0.787142857,26
Austria,0.44,0.716,0,46,69,2,0.001,0,20k,20,35.4199256,0.709285714,42
Norway,0.74,0.95,0,46,69,2,0.001,0,20k,~0,23.64077381,0.653928571,64
"Washington, US",0.11,0.253,0,58,69,2,0.002,0.0004,20k,13,46.12692844,0.715,1538
Sweden,0.92,1.15,0,46,69,2,0.001,0,20k,<8,26.66080357,0.692142857,42
"New Jersey, US",0.22,0.627,0,58,69,4,0.004,0.001,30k,20,47.3335154,0.5875,392
"California, US",0.15,0.345,0,58,69,2,0.004,0,20k,4,55.67338225,0.6755,960
Portugal,0.39,0.74,0,46,69,4,0.002,0.00001,20k,25,54.83046131,0.732142857,8
Brazil,0.36,0.77,0,46,69,2,0.008,0,20k,54,76.83269345,0.899642857,4
"Guangdong, China",0.457,0.568,0,6,32,4,0.0003,0,20k,3,57.52429167,0.711,128
Denmark,1.63,1.94,0,46,69,2,0.0005,0,20k,<5,39.42535714,0.820714286,12
Malaysia,0.188,0.394,0,46,69,2,0.0004,0,10k,29,75.50111607,0.976428571,72
"Henan, China",0.633,0.78,0,7,32,8,0.0004,0.0001,40k,~0,41.39342105,0.637368421,72
"Zhejiang, China",0.57,0.704,0,5,30,8,0.0004,0.0001,40k,5,41.78515351,0.849473684,80
Turkey,0.855,1.313,0,58,71,8,0.004,0,20k,~0,43.59982955,0.616363636,48
Czechia,0.465,0.76,0,46,69,2,0.001,0,20k,45,40.62133929,0.734285714,10
Japan,0.096,0.174,0,37,69,2,0.0001,0,10k,~0,37.80682432,0.62,294
Israel,0.208,0.454,0,46,69,2,0.0001,0,10k,~34 (perfect fit for prev time),55.64596726,0.702857143,24
"Illinois, US",0.16,0.5,0,58,69,2,0.0002,0.001,40k,20,41.04840217,0.724,328
"Michigan, US",0.26,0.65,0,58,69,2,0.0002,0.001,40k,<2,37.26401983,0.668421053,164
"Hunan, China",0.814,0.999,0,5,30,8,0.0004,0,80k,~0,43.19765351,0.802631579,32
