,Province/State,Country/Region,Population
154,Hubei,China,59000000
16,,Italy,60485027
18,,Spain,46750042
11,,Germany,83713653
155,,Iran,83707759
157,France,France,65235659
99,New York,US,8175133
156,,"Korea, South",51257643
31,,Switzerland,8637943
403,United Kingdom,United Kingdom,67792256
440,Netherlands,Netherlands,17124708
20,,Belgium,11589623
32,,Austria,8992881
39,,Norway,5410063
98,Washington,US,"7,797,095"
17,,Sweden,10082690
107,New Jersey,US,8936574
100,California,US,39747267
59,,Portugal,10204452
35,,Brazil,212161330
158,Guangdong,China,113460000
170,Denmark,Denmark,5786850
4,,Malaysia,32256026
159,Henan,China,94000000
160,Zhejiang,China,57370000
207,,Turkey,84098961
186,,Czechia,10708981
1,,Japan,126577282
33,,Israel,8619522
110,Illinois,US,12659682
146,Michigan,US,10045029
161,Hunan,China,67370000
