Weather Station ID,Country,Name,Latitude,Longitude,Elevation,ICAO ID,WMO ID,IATA ID,Time Zone
PABL0,US,Buckland Airport,65.9667,-161.15,7.0,PABL,,BKC,
1001,NO,Jan Mayen,70.9333,-8.6667,10.0,ENJA,1001.0,,Europe/Oslo
1002,NO,Grahuken,79.7833,14.4667,,,1002.0,,Europe/Oslo
1003,NO,Hornsund,77.0,15.5,10.0,,1003.0,,Europe/Oslo
1004,NO,Ny-Alesund Ii,78.9167,11.9333,8.0,ENAS,1004.0,,Europe/Oslo
1006,NO,Edgeoya,78.2333,22.7833,,,1006.0,,Europe/Oslo
1007,NO,Ny Alesund,78.9167,11.9333,,,1007.0,,Europe/Oslo
1008,NO,Svalbard Lufthavn,78.25,15.4667,2.0,ENSB,1008.0,LYR,Europe/Oslo
1009,NO,Phippsoya,80.6833,20.8667,4.0,,1009.0,,Europe/Oslo
1010,NO,Andoya,69.3,16.15,1.0,ENAN,1010.0,ANX,Europe/Oslo
1011,NO,Kvitoya,80.1,31.4,16.0,,1011.0,,Europe/Oslo
1015,NO,Hekkingen Fyr,69.6,17.8333,14.0,,1015.0,,Europe/Oslo
1016,NO,Senja-Grasmyrskogen,69.2833,17.7667,50.0,,1016.0,,Europe/Oslo
1023,NO,Bardufoss,69.0667,18.5333,7.0,ENDU,1023.0,BDU,Europe/Oslo
1025,NO,Tromso / Langnes,69.6833,18.9167,1.0,ENTC,1025.0,TOS,Europe/Oslo
1026,NO,Tromso,69.65,18.9333,103.0,,1026.0,,Europe/Oslo
1028,NO,Bjornoya,74.5167,19.0167,16.0,ENBJ,1028.0,,Europe/Oslo
1033,NO,Torsvag Fyr,70.25,19.5,21.0,,1033.0,,Europe/Oslo
1034,NO,Fugloykalven Fyr,70.3167,20.15,37.0,,1034.0,,Europe/Oslo
1035,NO,Oteren,69.25,19.8833,12.0,,1035.0,,Europe/Oslo
1041,NO,Nodreisa-Oyeng,69.7333,21.0167,5.0,,1041.0,,Europe/Oslo
1043,NO,Loppa,70.3333,21.4667,10.0,,1043.0,,Europe/Oslo
1045,NO,Nordstraum I Kvaenangen,69.8333,21.8833,6.0,,1045.0,,Europe/Oslo
1046,NO,Sorkjosen,69.7833,20.9667,0.0,ENSR,1046.0,SOJ,Europe/Oslo
1047,NO,Kautokeino,69.0,23.0333,305.0,ENKA,1047.0,QKX,Europe/Oslo
1049,NO,Alta Lufthavn,69.9833,23.3667,0.0,ENAT,1049.0,ALF,Europe/Oslo
1051,NO,Suolovuopmi,69.5833,23.5333,374.0,,1051.0,,Europe/Oslo
1052,NO,Hammerfest,70.6667,23.6667,8.0,ENHF,1052.0,HFT,Europe/Oslo
1055,NO,Fruholmen Fyr,71.1,24.0,13.0,,1055.0,,Europe/Oslo
1057,NO,Cuovddatmohkki,69.3667,24.4333,286.0,,1057.0,,Europe/Oslo
1059,NO,Banak,70.0667,24.9833,0.0,ENNA,1059.0,LKL,Europe/Oslo
1062,NO,Hopen,76.5,25.0667,6.0,ENHO,1062.0,,Europe/Oslo
1065,NO,Karasjok,69.4667,25.5,129.0,,1065.0,,Europe/Oslo
1066,NO,Helnes Fyr,71.0667,26.2333,33.0,,1066.0,,Europe/Oslo
1068,NO,Honningsvag / Valan,71.0167,25.9833,1.0,ENHV,1068.0,HVG,Europe/Oslo
1074,NO,Mehamn,71.0333,27.8333,1.0,ENMH,1074.0,MEH,Europe/Oslo
1075,NO,Rustefjelbma,70.4,28.2,9.0,,1075.0,,Europe/Oslo
1078,NO,Sletnes Fyr,71.0833,28.2333,8.0,,1078.0,,Europe/Oslo
1083,NO,Berlevag,70.8667,29.0333,1.0,ENBV,1083.0,BVG,Europe/Oslo
1088,NO,Vadso,70.0667,29.85,3.0,ENVD,1088.0,VDS,Europe/Oslo
1089,NO,Kirkenes Lufthavn,69.7333,29.9,9.0,ENKR,1089.0,KKN,Europe/Oslo
1092,NO,Makkaur Fyr,70.7,30.0833,9.0,,1092.0,,Europe/Oslo
1097,NO,Svartnes,70.35,31.05,12.0,ENSS,1097.0,,Europe/Oslo
1098,NO,Vardo,70.3667,31.1,14.0,,1098.0,,Europe/Oslo
1102,NO,Sklinna Fyr,65.2,11.0,23.0,,1102.0,,Europe/Oslo
